platform;repo_id;grids;topics;repo_last_commit_date;month;authors_count
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2016-02;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2016-03;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2016-10;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2017-06;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2017-09;2
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2017-10;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2017-11;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2017-12;2
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2018-01;4
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2018-10;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2019-03;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2019-06;2
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2019-09;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2019-10;2
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2019-12;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2020-03;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2020-04;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2020-05;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2020-06;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2020-07;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2020-09;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2020-12;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2021-03;2
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2021-06;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2021-08;1
github;pinax/pinax-referrals;pinax-user,referrals;;2021-12-01T09:31:39:000;2021-12;2
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2014-02;1
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2014-03;1
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2014-04;1
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2014-05;2
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2014-06;3
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2014-07;2
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2014-09;1
